Type;VSE;
0.31744977831840515;0.31979337334632874
-0.31925651431083679;-0.95898699760437012
0.95620507001876831;-0.31921729445457458
0.32027429342269897;-0.95853233337402344
0.31746688485145569;-0.31906199455261230
0.32038423418998718;-0.32033506035804749
-0.31824901700019836;-0.96002894639968872
-0.31910026073455811;0.31865361332893372
-0.31885883212089539;0.31787580251693726
0.31974694132804871;0.31854698061943054
-0.95884138345718384;0.32104548811912537
0.31852650642395020;0.95628952980041504
-0.32012993097305298;0.95697879791259766
0.31861183047294617;0.31866055727005005
-0.95731186866760254;0.31740182638168335
0.95886313915252686;-0.32000419497489929
-0.95901912450790405;-0.32223266363143921
-0.31793817877769470;-0.31922402977943420
0.31866779923439026;0.31975522637367249
-0.95690071582794189;0.31683322787284851
-0.95724946260452271;0.95604443550109863
0.95764940977096558;0.31892153620719910
-0.95757550001144409;0.31887361407279968
0.95778924226760864;-0.31906858086585999
0.31921705603599548;-0.95672625303268433
-0.95712482929229736;-0.32007113099098206
0.31986352801322937;0.95637822151184082
-0.31911411881446838;-0.31966245174407959
0.31833881139755249;-0.95666408538818359
0.95890277624130249;-0.95846617221832275
0.31851723790168762;0.95854705572128296
-0.31870129704475403;0.31731057167053223
0.95632344484329224;-0.95811921358108521
-0.95612514019012451;0.31810194253921509
-0.95759665966033936;0.95717322826385498
0.31938165426254272;-0.31970477104187012
-0.95674592256546021;-0.95687848329544067
-0.95839655399322510;0.95874905586242676
-0.31941089034080505;0.31821429729461670
0.95826411247253418;-0.95905375480651855
-0.31997990608215332;0.95661222934722900
-0.31951257586479187;0.31889262795448303
0.95844876766204834;-0.32032793760299683
-0.31781530380249023;0.31913432478904724
-0.31775030493736267;0.95942437648773193
0.95683014392852783;0.95752668380737305
-0.31782785058021545;0.95597571134567261
0.31886741518974304;-0.31971001625061035
-0.95628887414932251;0.32018172740936279
-0.31994724273681641;-0.95831423997879028
0.31846264004707336;-0.95827102661132813
0.95792078971862793;-0.31933403015136719
0.95548909902572632;-0.32219901680946350
0.95805680751800537;0.95550882816314697
0.31891044974327087;0.95750403404235840
-0.95546233654022217;0.95848435163497925
0.95627290010452271;-0.32172688841819763
-0.95556277036666870;-0.32010221481323242
-0.31823343038558960;0.32019597291946411
-0.95645964145660400;0.31964442133903503
0.95480382442474365;-0.95818871259689331
0.31914469599723816;0.31887796521186829
-0.95902985334396362;-0.95627313852310181
-0.31919041275978088;-0.31898254156112671
-0.95608621835708618;0.95915448665618896
-0.95618337392807007;-0.31925109028816223
0.95664483308792114;-0.31835430860519409
0.32116901874542236;0.31804248690605164
0.31700295209884644;-0.95769613981246948
-0.95716303586959839;-0.31803652644157410
-0.95746386051177979;-0.31920373439788818
-0.95502823591232300;0.95494723320007324
-0.95781534910202026;-0.31929540634155273
0.31867945194244385;0.95632135868072510
0.31783774495124817;-0.31946220993995667
-0.31819325685501099;0.95710444450378418
-0.31720015406608582;0.95668584108352661
0.95764398574829102;0.95423930883407593
-0.95624125003814697;-0.31856751441955566
0.31997367739677429;0.31725567579269409
0.95801377296447754;-0.95929849147796631
0.95901584625244141;-0.31902858614921570
-0.95612049102783203;0.32142019271850586
-0.31854975223541260;-0.31743407249450684
